Name,Effect
Dry Skin,"Static
Effect: Whenever the user is hit by a damaging FireType Move or ends their turn in Sunny Weather, they lose a
Tick of Hit Points. The user is immune to the damage and effects of Water-Type Moves, and whenever the
user is hit by a damaging Water-Type Move or ends their turn in Rainy Weather, they gain a Tick of Hit Points"
Dual Wield,"Scence x2
Mega Launcher moves hit twice each hit at 50% power."
Dune Terror,"Static
Ground Moves Gain DB+1 Additionally in sandstorm Ground moves Gain +1 extra DB and User reduce
damage by 5 for every 20 level during Sandstorm."
Dust Cloud,"Scene – Free Action
Effect: Connection - Poison Powder. Whenever the user uses Poison Powder, Sleep Powder, or Stun Spore, the
user may activate this Ability to use if it as if that move have a range of Burst 1 instead."
Early Bird,"Static
Effect: The user gains a +3 Bonus to rolls made due to Status Afflictions."
Early Grave,"Ghost-type moves get +1 priority at max HP."
Earth Eater,"Static
Effect: The user is immune to the damage and effects of Ground-Type attacks, and whenever they are hit with
a Ground Type attack,They gain HP equal to a Quarter of their Max HP Defensive."
Earthbound,"Static
The user's Ground moves gain DB+1"
Ectoplasm,"Ups highest attacking stat by 1.5x in fog."
Effect Spore,"Scene – Free Action
Trigger: The user is hit by a Melee Attack
Effect: Roll 1d6. On a result of 1 or 2, the attacker is Poisoned. On a result of 3 or 4, the attacker is Paralyzed.
On a result of 5 or 6, the attacker falls Asleep."
Eggscellence,"Static
Connection — Barrage. The user receives STAB when using Barrage and Egg Bomb. If Normal Typed, these
Moves deal Damage as if one step more effective on 16+."
Egoist,"Raises its own stats when foes raise theirs."
Electric Burst,"Static
All users electric damaging moves deal +2 Damage Base but user receive 1/5 recoil."
Electric Surge,"'Scene - Swift Action
The Field becomes Electric, as if affected by the Move Electric Terrain."
Electrifying Aura (electric aura),"Static
Effect: The user and all allies have the Damage Base of their damaging Electric Type Attacks increased by +1."
Electro Surge,"Casts Electric Terrain on entry. Lasts 8 turns."
Electrocytes,"Boosts the power of Electric-type moves by 1.25x."
Electrodash,"Scene – Free Action
Effect: The user may make a Sprint Action as a Swift Action."
Electromorphosis,"Static
The User is hit by Physical damage Effect: When the user takes damage from any source, it will gain Charged
to the damage roll of the next electric type move it uses"
Elemental Charge,"20% chance to BRN/FRZ/PARA with respective types."
Elemental Vortex,"Flash Fire + Water Absorb."
Emanate,"Normal-type moves become Psychic and get a 1.1x boost."
Embody Aspect,"+1 Speed on Entry."
Emergency Exit,"'At-Will - Free Action
trigger: The user is brought to 50% Hit Points or lower. The user must have more than 50% Hit Points for this
ability to Trigger.
effect:The user may choose to immediately return to its Pokeball. A new Pokemon can immediately be sent
out."
Empower,"Scene - Swift Action
The user may use a self-targeting Status-Class Move as a Free Action."
Enduring Rage,"Static
Effect: The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged,
the user gains 5 Damage Reduction."
Energized,"Generator + charges up on KO with an Electric-type move."
Energy Horns,"Mighty horn moves become special and deal 30% more damage."
Energy Siphon,"Heals the user for 1/4 of the damage they deal."
Enfeebling Lips,"Static
Effect: Connection - Lovely Kiss. Whenever the user uses the Move Lovely Kiss, they may choose a Stat. If the
Move successfully hits, the Pokémon or Trainer being targeted loses 2 Combat Stages in that Stat."
Enlightened,"Emanate + Inner Focus."
Entrance,"Confusion also inflicts infatuation."
Equinox,"Boosts Atk or SpAtk to match the higher value."
Eternal Blessing,"Celestial Blessing + Regenerator."
Ethereal Rush,"This Pokémon's Speed gets a 1.5x boost in fog."
Evaporate,"Scene – Free Action
Trigger : Ther user is Hit by a Water Type Move.
Takes no damage and sets mist. Defensive."
Exploit,"Static
Effect: Whenever you deal Super-Effective Damage to a target, that target treats your Damage Roll as it were
increased by DB+1"
Exploit Weakness,"Deals 1.25x and targets lowest defense vs statused foes."
Exploiter,"Scene x2 – Swift Action
If opponent has less than 50% user may act with any move as if it had the priority Keyword."
Fabulous Trim,"Static
Effect: Furfrou’s Ability depends on its current hairstyle. A Furfrou’s hairstyle can be changed as an Extended
Action at an appropriate hair parlor.
Star Trim: Celebrate
Diamond Trim: Defiant
Heart Trim: Cute Tears
Pharaoh Trim: Sand Veil
Kabuki Trim: Inner Focus
La Reine Trim: Intimidate
Matron Trim: Friend Guard
Dandy Trim: Moxie
Debutante Trim: Confidence"
Fade Away,"Scene – Standard Action, Interrupt
Effect: The user becomes Invisible until the beginning of their next turn, and may immediately Shift. This
Ability may be activated as an Interrupt when hit by a Physical attack; the user may declare the use of Fade
Away to avoid all damage and/or effects of the move. Defensive."
Fae Hunter,"Scene x2 - Free Action
When a move hits a Fairy Pokemon, consider Damage as Super effective."
Fairy Aura,"Static
Effect: The user and all allies have the Damage Base of their damaging Fairy Type Attacks increased by +1."
Fairy Orbs,"Scene - Free Action
The user creates 3 Fairy Orbs. Whenever the user is targeted by a foe within 6 meters, they may spend a Fairy
Orb to use the Move Fairy Wind against that foe as a Free Action after the triggering Move is resolved."
Fairy Tale,"Adds Fairy type to itself."
Fairy Wrath,"Static
Pixiliate + Rampage"
Faraday Cage,"Shell Armor + 50BP Thunder Cage when hit by contact."
Fatal Precision,"Static
User Super Effective moves gain a bonus +1 Accuracy."
Fearmonger,"Static
Intimidate + Scare + Frighten"
Feline Prowess,"Doubles own Sp. Atk stat. Boosts raw stat, not base stat."
Fertilize,"Normal-type moves become Grass and get a 1.1x boost."
Field Explorer,"Static
All field exploring moves damage base increased by 2 (Surf,Dive,Flash,Rock-Smash,Strength,Climb,Cut,
Flash,Waterfall)"
Fiery Crash,"Static
Effect: Whenever the user uses a Move with the Dash keyword, they may either increase that Move’s Damage
Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword
performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already
inflict Burn."
Fighter,"Boosts Fight.-type moves by 1.2x, or 1.5x when below 1/3 HP."
Fighting Aura,"Static
Effect: The user and all allies have the Damage Base of their damaging Fighting Type Attacks increased by +1."
Fighting Spirit,"At-Will – Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
Effect: The Move is changed to be Fighting-Type and gains +1 Damage Base."
Filter,"Static
Effect: When the user is hit by a Super-Effective attack, the attack deals x1.25 damage instead of x1.5 damage.
If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. . If you
have both Solid Rock and Filter, you gain 5 Damage Reduction against Super-Effective Damage. Defensive."
Final Blow,"Unseen Fist + Fatal Precision."
Fire Scales,"Halves damage taken by Special moves. Does NOT double SpDef."
Flame Body,"Scene – Free Action
Trigger: The user is hit by a Melee Attack
Effect: The attacking foe becomes Burned."
Flame Bubble,"Water Bubble + Flaming Soul."
Flame Coat,"Non-Fire-types take 1/8 dmg every turn when on field."
Flame Shield,"Takes 35% less damage from Super-effective moves."
Flame Tongue,"Scene – Free Action
Trigger: The user hits a foe with Lick.
Effect: Connection – Lick. The foe hit with Lick gains an Injury and becomes Burned."
Flaming Jaws,"Biting moves have 50% chance to burn the target."
Flaming Maw,"Strong Jaw + Flaming Jaws"
Flaming Soul,"Static
Effect: The user may use Fire-Type Moves as if they have the Priority keyword."
Flammable Coat,"Changes forms when using or hit by a Fire-type move."
Flare Boost,"Static
Effect: While Burned, the user’s Special Attack is raised by 2 Combat Stages. If the user is cured of its Burn, its
Special Attack is lowered by 2 Combat Stages."
Flash Fire,"Static
Effect: The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type
attack, the user gains a +5 Bonus to their next Damage Roll with a Fire-Type Move. Defensive."
Flavorful Aroma,"At-Will – Free Action
Trigger: The user uses Aromatic Mist
Effect: Connection – Aromatic Mist. All allies affected by Aromatic Mist gain +1 to Accuracy Rolls and +5 to
Damage Rolls for one full round."
Flock,"Static
Effect: The user's Flying Type Moves Gain DB+1."
Flourish,"Boosts Grass moves by 50% in grassy terrain."
Flower Gift,"Scene - Swift Action
ffect: Flower Gift may only be used if the Weather is Sunny or if the user is under 50% Hit Points. When
activated, the user may pick two Stats, gaining +2 Combat Stages in each Stat. All targets within 2 meters also
gain +1 Combat Stage in each of the chosen Stats."
Flower Power,"Static
effect: The user may perform damaging Grass Type Moves as if they were their choice of either Physical or
Special."
Flower Veil,"Static
Grass-Type Pokemon within 5 meters cannot have their Combat Stages lowered.Defensive."
Fluffiest,"Quarters contact damage taken. 4x weak to fire."
Fluffy,"Static
The user resists damaging Melee attacks one step further, but resists Fire-Type attacks one step less.
Defensive."
Fluffy Charge,"Static
Effect: Connection – Charge. Whenever the user uses Charge, they gain +1 CS to Defense."
Flutter,"At-Will — Shift Action
The user gains +3 Evasion until the end of their next turn, and cannot be Flanked.Defensive."
Flying Fly Trap,"Static
'The Pokémon takes no damage from Ground Type Moves and Bug Type Moves. Defensive."
Focus,"Static
The user gains Last Chance with Fighting."
Forecast,"Static
The user's Type changes depending on the weather. It changes to Fire Type if it is Sunny, Ice Type if it is
Hailing, Water Type if it is Rainy, and Rock Type if there is a Sandstorm. It returns to Normal Type if it is in
normal weather or foggy weather. If there are multiple Weather Effects on the field, choose one type for the
user to be that corresponds with an existing Weather Effect."
Forest Lord,"Scene x2 – Shift Action
Effect: This turn, the user may originate a Grass or Ghost-Typed Move from any fully grown tree within 10
meters. Moves performed this way gain a +2 Bonus on their Accuracy Rol"
Forest Rage,"Boosts Grass-type moves by 1.3x, or 1.8x when below 1/3 HP."
Forewarn,"Scene – Free Action
Target: A Pokémon or Trainer
Effect: The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all
tied Moves are revealed. The Moves revealed gain a -2 Penalty during Accuracy Checks when used by the
target for the rest of the encounter."
Forsaken Heart,"KOs dealt anywhere on the field raise Attack by one stage."
Fort Knox,"Static
the user’s Defense is raised 2 Combat Stages.Defensive."
Fortitude,"Boosts SpDef +1 when hit. Maxes SpDef on crit."
Fossilized,"Static
Resists Rock Type Moves 1 Step Further and Rock-Type Moves DB is increased by 2.Defensive."
Foundry,"At-Will – Free Action
Trigger: The user uses a Rock-Type damaging Move
Effect: The Move is changed to be Fire Type and it's Damge Base is increased by 1."
Fox Fire,"Scene – Standard Action
Effect: The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend
a Fire Wisp as an Interrupt to use the Move Ember against that foe as a Free Action, as if it was on their Move
List"
