Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Dragon Pulse,Dragon,Special,EOT,"8, 1 Target, Aura",4,9,If the Target has negative CS in Special Defense this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target.,--,Tier 2
Dragon Rage,Dragon,Status,EOT,"Self, Swift Action",,,"The user becomes Enraged. If the user is already Enraged, their next Damaging Attack gains the Smite Keyword. This may be used even if the user is Enraged, ignoring its effects. ",--,Tier 1
Dragon Rush,Dragon,Physical,Scene x2,"Melee, 1 Target, Dash",3,10,"If the Dash Keyword is Activated, this Attack ignores Positive CS in Defense. Slide 3 (Away), Smite.",--,Tier 3
Dragon Spirit,Dragon,Status,At-Will,"Self, Versatile",,,The user gains +2 CS in Special Attack. The user is cured of one Mental Affliction.,"If the user is affected by a Mental Affliction, they pass their next Save Check, regardless of the result.",Tier 1
Dragon Tail,Dragon,Physical,EOT,"Melee, 1 Target",3,7,You may perform a Trip Maneuver against the Target as a Free Action. The Maneuver automatically hits but you still need to perform the Opposed Check. ,--,Tier 1
Dual Chop,Dragon,Physical,EOT,"Melee, 1 Target",3,5,Double Strike. ,--,Tier 1
Fickle Beam,Dragon,Special,Scene x2,"6, 1 Target or 6, 3 Targets",7,6,"If this Attack has only one Target, it has the Five Strike Keyword and an AC of 4.",,Tier 2
Glaive Rush,Dragon,Physical,Scene x2,"Melee, Pass, Dash, Reckless",5,12,"On a roll of 15+, the Target becomes Wounded. After Damage Resolution, if the Dash Keyword wasn't Activated, the user is Vulnerable against the next Attack to target them.",--,Tier 3
Imposing Stare,Dragon,Status,Scene x2,"Close Blast 3, Social, Versatile",,,"The user may perform a Terrorize Maneuver against all Targets as a Free Action. When used this way, the AC becomes 2. All Targets who fail the Opposed Check also become Trapped and during their next Turn their Damaging Attacks are resisted by an additional damage step. Friendly, Sureshot.","All Legal Targets become Trapped. Friendly, Sureshot. ",Tier 2
Mystic Aura,Dragon,Special,Scene x2,"Burst 1, Aura",5,9,"This Attack does not damage allies. All allies within a Burst 3 of the user gain a +3 bonus to their next Save Check. If the Weather is Mystical, this has the Sureshot Keyword.",--,Tier 2
Outrage,Dragon,Physical,Scene x2,"Melee, All Adjacent Enemies, Full Action, Reckless",6,12,"After Damage Calculations the user becomes Enraged. If the user was Provoked by one of the Targets, this Attack is one more step Effective against them. Smite",--,Tier 3
Primal Storm,Dragon,Status,Scene x2,"Field, Versatile",,,"The Field becomes Primal for the next 5 Rounds. While the Field is Primal, non Dragon Type Enemies lose a Tick of Hit Points at the start of their Turn and Dargon Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Primal Energy,Dragon,Status,Scene x2,Burst 1 or Self; Set-Up,,,"Charge Effect: At the end of your Turn if you didn’t use a Damaging Attack, gain an additional Charge Token
Resolution Effect: For each Charge Token expended, choose a Target to gain +1 CS in a Stat of your choice. You cannot choose the same Target more than twice unless the only Target is the user. ",--,Tier 2
Rending Swipe,Dragon,Physical,Scene x2,"Melee, 1 Target",4,8,"On Even rolls, the Target becomes Wounded. On Odd rolls, the Target’s Defense is set to -2 CS. If the user is Enraged, this has the Spirit Surge Keyword.",--,Tier 2
Scale Shield,Dragon,Status,Scene,"Self, Shield, Trigger",,,"If the user is hit by an Attack, the user may use Scale Shield as a Standard Action + Reaction. The user and all Adjacent Targets resist the Attack by an additional Damage Step. Additionally the Triggering Attack is treated as having the Recoil 1/2 Keyword. ",--,Tier 3
Scale Shot,Dragon,Physical,EOT,"6, 1 Target",4,4,"If Scale Shot hits at least 4 times, the Target becomes Wounded. Five Strike",--,Tier 1
Scorched Earth,Dragon,Special,Scene,"Close Blast 3 or Line 6; Full Action, Hazard",7,11,"On a roll of 17+, all Targets become Burned. Scorched Earth creates Fire Hazards in all Spaces within the Range of this Attack. Smite, Spirit Surge.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards. ",--,Tier 3
Scorching Breath,Dragon,Special,EOT,"6, 1 Target",4,9,"On a roll of 18+, the Target becomes Burned. This Attack may be used as a Full Action to use it as if it were a Fire Type Attack instead or treat its Range as if it were Close Blast 2.",--,Tier 2
Spitfire,Dragon,Special,At-Will,"4, 1 Target",3,4,"On a roll of 18+, the Target becomes Burned. This Attack may be used as a Full Action to use it as if it were a Fire Type Attack instead.",--,Tier 1
Twister,Dragon,Special,EOT,"6, Ranged Blast 2",5,6,"You may choose to destroy all Hazards within the range of this Attack. This Attack is treated as one step more Effective against Targets with the Flier Capability, but cannot surpass 1.5x Effectiveness. ",--,Tier 1
Aura Wheel,Electric,Physical,Scene x2,"Melee, Pass, Dash",5,10,"If the Dash Keyword is Activated, a Coat may be removed from each Target hit by this Attack. If the user is in Hangry Mode, Aura Wheel is Dark Typed.",--,Tier 3
Bolt Beak,Electric,Physical,EOT,"Melee, 1 Target",3,9,"If the Target is Paralyzed or the Weather is Thunderstorm, the Target cannot apply Physical Evasion against this Attack.",--,Tier 2
Charge,Electric,Status,EOT,"Self, Versatile",,,"The user gains a Charged Coat. The user may expend a Charge Coat when successfully hitting an Electric Damaging Attack to add its Damage Dice an extra time to the Damage Roll. This applies after any other Damage Base Modifiers such as a Critical Hit. 
Note: If the Damage Base would have the Attack be 2d6+8, this expended Coat turns it into 4d6+16. ",The user's next Electric Type Damaging Attack adds +2 to its Damage Base and has the Smite Keyword.,Tier 2
Charge Beam,Electric,Special,EOT,"Line 3, Full Action",5,4,The user gains +1 CS in Special Attack. Spirit Surge,--,Tier 1
Charged Spikes,Electric,Status,Scene x2,"Self, Trigger",,,"Charged Spikes can only be used as a Reaction whenever you’re hit with a Melee Attack. The Triggering Attack gains the Recoil ⅓ Keyword. If the Triggering Attack was a Super Effective, they also become Paralyzed.",--,Tier 2
Charged Velocity,Electric,Status,Scene x2,"Self, Versatile",,,"The user gains +2 CS in Attack, Special Attack or Speed. They then may use a Sprint or Disengage Maneuver as a Free Action.","Choose Attack, Special Attack or Speed to gain +1 CS in.",Tier 2
Discharge,Electric,Special,EOT,"Burst X, Set-Up",6,8,"Charge Effect: You may use the Resolution Effect this Turn if desired, ignoring the Set-Up Keyword. 
Resolution Effect: X is equal to 1 plus the number of Charge Tokens expended (Or any lesser value). Targets become Paralyzed on a 18+. This gains the Smite Keyword if at least 2 Charge Counters are expended this way. ",--,Tier 2
Eerie Impulse,Electric,Status,EOT,"Burst 1, Versatile",5,,"All Targets have their Special Attack lowered by -3 CS. When this Attack hits, all Targets also become Dazed. Friendly, Spirit Surge. *Grants Glow","All Targets lose -2 CS in Special Attack. If this misses, they instead lose -1 CS. Friendly.",Tier 1
Electric Terrain,Electric,Status,Scene x2,"Field, Versatile, Weather",,,"The field becomes Electrified for the next 5 Rounds. While the field is Electrified, grounded Combatants are immune to Drowsy, and Electric Type attacks ignore Speed Evasion. While the Field is Electrified, the Weather may become Thunderstorm. ","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Electrify,Electric,Status,Scene x2,"Burst 2, Coat, Versatile",6,,"The Target gains an Electrified Coat. While the combatant is Electrified, all Electric Type Damaging Attacks that would miss the combatant instead deal Smite Damage or hit if the Attack has the Smite Keyword already. Whenever the combatant would be hit by an Electric Type Damaging Attack with an Effect Range that causes Paralysis, the Attacker may expend this Coat to trigger that Effect Range. Friendly.","Same as the normal Effects, but the Range is changed to 4, 1 Target. ",Tier 2
Electro Ball,Electric,Special,EOT,"10, 1 Target",3,6,Electro Ball may use the user's Speed Stat as an Offensive Stat instead of their Special Attack.,--,Tier 1
Electro Burst,Electric,Status,Scene x2,"Burst 2, Versatile",6,,"All Targets become Paralyzed. If they're already Paralyzed, they instead become Dazed. If this Attack misses, their Movement Value is halved during their next Turn. Spirit Surge",All Paralyzed Targets cannot cure the Paralyzed Affliction until the end of the next Round.,Tier 2
Electro Shot,Electric,Special,Scene,"Line X, Set-Up",4,8,"Charge Effect: If the Weather is Sandstorm, you cannot use this Charge Effect. If the Weather is Thunderstorm, you instead gain 2 Charge Tokens. 
Resolution Effect: X is equal to 4 plus the number of Charge Tokens you expend. This Attack’s Damage Base is increased by +2 for each Charge Token you expend. Smite",--,Tier 2
Electroweb,Electric,Special,EOT,"6, Ranged Blast 2",5,6,"If this Attack misses all Targets, you may place Web Hazards in all spaces within the Range of this Attack. Enemies that Trigger this Web Hazard become Paralyzed. 

Web Hazard - Spaces with Web Hazards are treated as Slow Terrain. Whenever an Enemy passes through or ends their turn on a Web Hazard, they have their Speed lowered by -3 CS.",--,Tier 1
Energy Bomb,Electric,Special,Scene,"Burst 2, Recoil 1/2, Set-Up",5,,"Charge Effect: No Effect. Whenever you end your Turn with a Charge Counter from this Attack, you lose a Tick of Hit Points.
Resolution Effect: X is equal to your expended Charge Tokens multiplied by 5, then add +5. Smite",--,Tier 3
Gigavolt,Electric,Physical,Scene x2,"Close Blast 3, Full Action, Recoil 1/3, Reckless",5,10,"Gigavolt cannot miss Paralyzed Targets. If the Weather is Thunderstorm, the Recoil Keyword is ignored. Smite",--,Tier 3
Ion Capture,Electric,Status,Scene x2,"Self, Healing, Versatile",,,"The user restores 5 Ticks of Hit Points. If the Field or Space the user is standing on is affected by an Electric Attack or the Weather is Thunderstorm, the user is also cured of a Status Affliction. This cannot be used if there is weather other than Thunderstorm on the Field.",The user restores 2 Ticks of Hit Points. Ion Capture can only be used this way if the Field is affected by an Electric Attack or the Weather is Thunderstorm and there is no other Weather on the Field.,Tier 2
Ion Deluge,Electric,Status,Scene x2,"5, Ranged Blast 3 or Burst 2, Hazard, Versatile",,,"Gas Hazards are created in all Spaces within the Range of this Attack. Enemies that Trigger this Hazard become Paralyzed and cannot increase their Combat Stages until the end of their next Turn.

Gas Hazards - Any Enemy who ends their Turn on or moves through a Gas Hazard loses one Tick of Hit Points and suffers any additional effects derived from the source. This Effect is ignored by Combatants with the Breathless Capability. ","Same as the normal Effects, but Ion Deluge can only be used this way if you used a non-Field or Self Status Attack this Turn. Gas Hazards are then created on each space within the Range of that Attack.",Tier 2
Lightning Lance,Electric,Special,Scene x2,"Line 6, Full Action, Recoil 1/3",6,13,"On a roll of 17+, all Legal Targets become Paralyzed. If the Weather is Thunderstorm, Lighting Lance ignores Special Evasion. Smite. ",--,Tier 3
Magnet Rise,Electric,Status,Scene,"Self, Trigger, Shield, Versatile",,,"If the user is hit by an Groundsource or Burst Attack, the user may use Magnet Rise as a Standard Action + Reaction. The user is instead not hit by the Attack. The user does not take any damage nor is affected by any of the Attack's effects.","You ignore the effects of all Hazards until the end of your Turn. When used this way, the Frequency of this Attack is not expended.",Tier 3
Magnetic Flux,Electric,Status,Scene x2,"Field, Versatile",,,"The Field becomes Fluxed for the next 5 Rounds. At the start of each Round, all Combatants that are Electric Type or have the Magnetic Capability gain +1 CS to a Stat of their Choice. If the Weather is Thunderstorm, they also gain a Tick of Temporary Hit Points.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Nuzzle,Electric,Physical,Scene x2,"Melee, 1 Target",4,2,The Target becomes Entranced or Paralyzed of your choice.,--,Tier 2
Overdrive,Electric,Special,EOT,"Close Blast 2, Sonic, Set-Up",6,4,"Charge Effect: While you have a Charge Token gained through this Attack, whenever your CS increases, gain a Charge Token. You cannot gain more than 3 Charge Tokens per Round for this Attack. 
Resolution Effect: After this Attack resolves, if all Targets were hit, all of the user's Stats with Positive CS are set to their Default Value. The Damage Base of this Attack is increased by +2 for each Charge Token expended. (Max 20). Smite",--,Tier 2
Parabolic Charge,Electric,Special,Scene x2,"Close Blast 2, Full Action ",5,7,The user restores Hit Points equal to half of the total damage taken by all Targets. This Attack cannot be affected by the Drain Keyword. ,--,Tier 2
Plasma Bolt,Electric,Physical,Scene,"Line 6, Full Action",6,12,"On a roll of 15+, all Targets become Burned. If any Targets are Paralyzed, this Effect Range automatically Triggers. Smite",--,Tier 3
Plasma Fists,Electric,Physical,Scene x2,"Melee, 1 Target, Punch",3,10,"If the Target of this Attack has a lower Speed than the user they are treated as Vulnerable against this Attack. If the Target of this Attack was already Vulnerable, they lose -2 CS in Defense after Damage Calculations.",--,Tier 3
Plasma Storm,Electric,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Plasmic for the next 5 Rounds. While the Field is Plasmic, non Electric Type Enemies lose a Tick of Hit Points at the start of their Turn and Electric Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Plasmic, the Weather becomes Thunderstorm.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
