Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Courage,Static,"Effect: While the user is below 50% Hit Points or Surrounded, they have a Bonus to Damage Rolls and Damage Reduction equal to their Tier Value. If both apply, the bonus is doubled. ",,,,"Static
Effect: While the user is below 50% Hit Points or Surrounded, they have a Bonus to Damage Rolls and Damage Reduction equal to their Tier Value. If both apply, the bonus is doubled. "
Coward,Scene - Free Action,"Effect: The Triggering Attack instead misses the user. The user cannot Target the Triggering Enemy with an Attack during their next Turn and if they use a Damaging Attack during this Turn, it is resisted by an additional damage step.
Bonus: Whenever the user ends their Turn without Targeting an Enemy with an Attack, they gain a bonus to Evasion equal to their Tier Level until the start of their next Turn. ",The user is Targeted by an Attack,,,"Scene - Free Action
Trigger - The user is Targeted by an Attack
Effect: The Triggering Attack instead misses the user. The user cannot Target the Triggering Enemy with an Attack during their next Turn and if they use a Damaging Attack during this Turn, it is resisted by an additional damage step.
Bonus: Whenever the user ends their Turn without Targeting an Enemy with an Attack, they gain a bonus to Evasion equal to their Tier Level until the start of their next Turn. "
Cruelty,Scene x2 - Swift Action,Effect: Choose one of the following Effects to apply to the Target. A Target can only be affected by this Ability once per Scene. The user may use a Manipulate or Trick Maneuver against them as a Free Action. The Target has a Penalty to their next Save Check equal to double your Tier Level. The Target cannot restore Hit Points or gain Combat Stages until the end of the next Round. ,The user hits an Enemy with a 1-Target Attack,,,"Scene x2 - Swift Action
Trigger - The user hits an Enemy with a 1-Target Attack
Effect: Choose one of the following Effects to apply to the Target. A Target can only be affected by this Ability once per Scene. The user may use a Manipulate or Trick Maneuver against them as a Free Action. The Target has a Penalty to their next Save Check equal to double your Tier Level. The Target cannot restore Hit Points or gain Combat Stages until the end of the next Round. "
Curious Medicine,At-Will-Special ,"Effect: Curious Medicine may be used as a Free Action to reset all Negative CS of the Target to their Default Value. It may be used as a Swift Action to grant the Target a bonus to their next Save Check equal to your Tier Level. Lastly, it may be used as a Standard Action to make the Target gain the Wounded, Poisoned, or Paralyzed Affliction",,The user or an Adjacent Combatant ,,"At-Will-Special 
Target - The user or an Adjacent Combatant 
Effect: Curious Medicine may be used as a Free Action to reset all Negative CS of the Target to their Default Value. It may be used as a Swift Action to grant the Target a bonus to their next Save Check equal to your Tier Level. Lastly, it may be used as a Standard Action to make the Target gain the Wounded, Poisoned, or Paralyzed Affliction"
Cursed Body,At-Will - Reaction ,"Effect: The Triggering Enemy either becomes Cursed, Suppressed or has the Triggering Attack disabled. ","An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them
",,Defensive,"At-Will - Reaction 
Keywords - Defensive
Trigger - An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them

Effect: The Triggering Enemy either becomes Cursed, Suppressed or has the Triggering Attack disabled. "
Cute Charm,Scene x3 - Reaction,"Effect: The Triggering Enemy either becomes Entranced, Weakened until the end of the Round or loses -2 CS in Attack and Special Attack. An Enemy can only be affected by Cute Charm once per Scene.",An Enemy ends their Turn within 2m of the user or hits them with an Attack while Adjacent to them,,Defensive,"Scene x3 - Reaction
Keywords - Defensive
Trigger - An Enemy ends their Turn within 2m of the user or hits them with an Attack while Adjacent to them
Effect: The Triggering Enemy either becomes Entranced, Weakened until the end of the Round or loses -2 CS in Attack and Special Attack. An Enemy can only be affected by Cute Charm once per Scene."
Cute Tears,At-Will - Swift Action,"Effect: Until the end of the Target’s next Turn, when Attacking the user or an ally within 2m of you, they have a penalty to Accuracy equal to your Tier Level and a penalty to Damage Rolls equal to your Tier Value. ",,An Enemy within 3m,,"At-Will - Swift Action
Target - An Enemy within 3m
Effect: Until the end of the Target’s next Turn, when Attacking the user or an ally within 2m of you, they have a penalty to Accuracy equal to your Tier Level and a penalty to Damage Rolls equal to your Tier Value. "
Damp,Static,"Effect: If the user is Targeted by Burst, Line or Blast Attack, they resist it by an additional Damage Step. If the user ends their turn while the Weather is Rainy, they gain a Tick of Temporary Hit Points and restore a Tick of Hit Points.  ",,,Defensive,"Static
Keywords - Defensive
Effect: If the user is Targeted by Burst, Line or Blast Attack, they resist it by an additional Damage Step. If the user ends their turn while the Weather is Rainy, they gain a Tick of Temporary Hit Points and restore a Tick of Hit Points.  "
Dancer,At-Will - Swift or Movement Action,Effect: The Target gains +1 CS in a Stat of your choice. A Combatant can only be Targeted by Dancer once per Round and Dancer can only be used once per Round unless you’re Tier 3.,,"An Ally within 2m
",,"At-Will - Swift or Movement Action
Target - An Ally within 2m

Effect: The Target gains +1 CS in a Stat of your choice. A Combatant can only be Targeted by Dancer once per Round and Dancer can only be used once per Round unless you’re Tier 3."
Deadly Poison,Static,"Effect: Whenever you inflict the Poisoned Affliction, it cannot be cured via Save Checks. Combatants Poisoned by you instead lose three Ticks of Hit Points instead of one when the Poisoned Affliction would activate its effects.",,,,"Static
Effect: Whenever you inflict the Poisoned Affliction, it cannot be cured via Save Checks. Combatants Poisoned by you instead lose three Ticks of Hit Points instead of one when the Poisoned Affliction would activate its effects."
Deathly Aroma,Static,"Effect: Whenever the user ends their Turn, all Enemies within 3m of them lose -1 CS in a Stat of your choice and adjacent Enemies cannot restore Hit Points until the end of their next Turn.",,,,"Static
Effect: Whenever the user ends their Turn, all Enemies within 3m of them lose -1 CS in a Stat of your choice and adjacent Enemies cannot restore Hit Points until the end of their next Turn."
Decoy,Scene - Swift Action,"Connection - Follow Me. 
Effect: When this Ability is Activated, you may use Follow Me as a Free Action.
Bonus: The user has a bonus to Evasion equal to your Tier Level if the attacker is Provoked by you or Dazed. ",,,,"Scene - Swift Action
Connection - Follow Me. 
Effect: When this Ability is Activated, you may use Follow Me as a Free Action.
Bonus: The user has a bonus to Evasion equal to your Tier Level if the attacker is Provoked by you or Dazed. "
Deep Sleep,Scene - Standard Action,"Effect: The user becomes Drowsy, then if they do, they restore 5 Ticks of Hit Points. 
Bonus: When the user becomes Drowsy they may choose to gain a Sleep Coat which persists while they have the Drowsy Affliction. While they have a Sleep Coat, they cannot use Swift or Movement Actions, they resist all Attacks by an additional Damage Step and they restore two Ticks of HP at the end of their Turn.  ",,,,"Scene - Standard Action
Effect: The user becomes Drowsy, then if they do, they restore 5 Ticks of Hit Points. 
Bonus: When the user becomes Drowsy they may choose to gain a Sleep Coat which persists while they have the Drowsy Affliction. While they have a Sleep Coat, they cannot use Swift or Movement Actions, they resist all Attacks by an additional Damage Step and they restore two Ticks of HP at the end of their Turn.  "
Defiant,At-Will - Free Action,Effect: The user gains +2 CS in Attack or Special Attack. Defiant may only be Triggered once per Round.,"The user has their CS lowered by an Attack, Ability or Feature from a source other than themselves",,,"At-Will - Free Action
Trigger - The user has their CS lowered by an Attack, Ability or Feature from a source other than themselves
Effect: The user gains +2 CS in Attack or Special Attack. Defiant may only be Triggered once per Round."
Defy Death,At-Will - Free Action,"Effect: The user performs a Luck Roll. If they pass a DC 5, they are instead set to 1 Hit Point instead of fainting. Each time this Ability activates, increase the DC by +5.  ",The user would faint and had more than 10% Hit Points,,,"At-Will - Free Action
Trigger - The user would faint and had more than 10% Hit Points
Effect: The user performs a Luck Roll. If they pass a DC 5, they are instead set to 1 Hit Point instead of fainting. Each time this Ability activates, increase the DC by +5.  "
Delayed Reaction,At-Will - Reaction,"Effect: You instead take no Damage. At the end of the Round, you lose Hit Points equal to the damage you should have taken when before using this Ability. This occurs even if the user is recalled.",You would take Damage,,,"At-Will - Reaction
Trigger - You would take Damage
Effect: You instead take no Damage. At the end of the Round, you lose Hit Points equal to the damage you should have taken when before using this Ability. This occurs even if the user is recalled."
Desert Weather,Static,"Effect: The user resists Ground and Fire Type Attacks by an additional Damage step. If the user ends their turn while the Weather is Sandstorm, they gain a Tick of Temporary Hit Points and restore a Tick of Hit Points. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user resists Ground and Fire Type Attacks by an additional Damage step. If the user ends their turn while the Weather is Sandstorm, they gain a Tick of Temporary Hit Points and restore a Tick of Hit Points. "
